time,group
0.0,1
0.008903610064422024,0
0.011648636603054981,1
0.013522547708763826,1
0.017371662412381993,1
0.017797090879624004,1
0.02114987237145983,1
0.02183866131842308,1
0.022172926542684657,1
0.02386451116243264,1
0.03465216158178356,0
0.03497629755682509,1
0.03700214740083465,1
0.048458328268708724,1
0.051466715287062925,1
0.05290506867630971,1
0.053178558405251,1
0.05842550950123577,1
0.06291276690571695,1
0.06367246059722054,1
0.06625541914833273,1
0.06646813338195373,1
0.0696183298893886,1
0.07367002957740772,1
0.0740245533001094,0
0.07528058020339533,0
0.08237105465742879,1
0.09526558891454966,1
0.09581256837243224,1
0.09950974433774969,1
0.10231554637170293,1
0.10539483813459746,1
0.10975041529921802,1
0.1112698026822252,1
0.11210040111826912,1
0.11390340747943763,1
0.11618248855394839,1
0.11734735221425388,1
0.11916048782464243,1
0.11979863052550545,1
0.12310076577124103,1
0.12416433693934606,1
0.12448847291438758,1
0.12847939710708642,1
0.12992787974555325,1
0.1317004983590616,1
0.13354402171711033,1
0.1359750415299218,1
0.13654227948624448,1
0.13744378266682875,1
0.1376666261496698,1
0.1402090677039018,1
0.1420120740650703,1
0.1430959037316154,1
0.1465499777156517,1
0.14840363032292048,1
0.14899112677768322,1
0.1490924192698837,1
0.1502775414286293,1
0.15116891535999352,1
0.15508893480815203,1
0.15804667558040597,1
0.1592419269883716,0
0.15966735545561364,1
0.15979903569547424,1
0.1600623961751955,1
0.16049795389165755,1
0.16132855232770146,1
0.1631822049349702,1
0.16420525910619505,1
0.16549167375714113,1
0.16725416312142943,1
0.16828734654187433,1
0.16993841416474212,1
0.17303796442607675,1
0.1751448482638467,1
0.17710992261253597,0
0.17723147360317654,1
0.17899396296746486,1
0.17943964993314696,1
0.1851221587455938,1
0.18547668246829546,1
0.1885154572343098,1
0.18976135488837567,1
0.19025768810015803,1
0.19038936834001863,1
0.19062234107207973,1
0.19073376281350027,1
0.19145293950812367,1
0.19164539524330457,1
0.19293180989425063,1
0.19302297313723107,1
0.19321542887241197,1
0.19616304039544588,1
0.19636562537984684,1
0.1981179854949151,1
0.19861431870669746,1
0.19994125035452373,1
0.20098456302418866,1
0.2027976986345772,1
0.20329403184635955,1
0.2034358413354402,1
0.20387139905190227,1
0.20389165755034236,1
0.2044082492605648,1
0.20484380697702687,1
0.20509703820752806,1
0.20519833069972854,1
0.20684939832259633,1
0.20764960901098012,1
0.21050605729103358,1
0.21157975770835866,1
0.21200518617560066,1
0.2123293221506422,1
0.21243061464284269,1
0.21365625379846845,1
0.21478060046189376,1
0.21501357319395487,1
0.21887281714679307,1
0.2199363883148981,1
0.22028078278837973,1
0.2204023337790203,1
0.22093918398768284,1
